File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH CORRECT C
Injection Number	280
Position	RE1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/6/2023
Injection Time	2:19:22 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.623101
Signal Max.	4.201809
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.073333	0.2	-0.646884
2.076667	0.2	-0.576968
2.080000	0.2	-0.504714
2.083333	0.2	-0.431949
2.086667	0.2	-0.360805
2.090000	0.2	-0.293621
2.093333	0.2	-0.232548
2.096667	0.2	-0.179124
2.100000	0.2	-0.134562
2.103333	0.2	-0.099578
2.106667	0.2	-0.073471
2.110000	0.2	-0.054172
2.113333	0.2	-0.039114
2.116667	0.2	-0.025859
2.120000	0.2	-0.012486
2.123333	0.2	0.002251
2.126667	0.2	0.018989
2.130000	0.2	0.037874
2.133333	0.2	0.058862
2.136667	0.2	0.081921
2.140000	0.2	0.106834
2.143333	0.2	0.132996
2.146667	0.2	0.159738
2.150000	0.2	0.186769
2.153333	0.2	0.213893
2.156667	0.2	0.240313
2.160000	0.2	0.264563
2.163333	0.2	0.285287
2.166667	0.2	0.301797
2.170000	0.2	0.313844
2.173333	0.2	0.321403
2.176667	0.2	0.324666
2.180000	0.2	0.324181
2.183333	0.2	0.321078
2.186667	0.2	0.316652
2.190000	0.2	0.311933
2.193333	0.2	0.308149
2.196667	0.2	0.306902
2.200000	0.2	0.309249
2.203333	0.2	0.315040
2.206667	0.2	0.323313
2.210000	0.2	0.332777
2.213333	0.2	0.342243
2.216667	0.2	0.351040
2.220000	0.2	0.358876
2.223333	0.2	0.365551
2.226667	0.2	0.370717
2.230000	0.2	0.373732
2.233333	0.2	0.374195
2.236667	0.2	0.372294
2.240000	0.2	0.368256
2.243333	0.2	0.362143
2.246667	0.2	0.354219
2.250000	0.2	0.344954
2.253333	0.2	0.335045
2.256667	0.2	0.325628
2.260000	0.2	0.317859
2.263333	0.2	0.312216
2.266667	0.2	0.308729
2.270000	0.2	0.307836
2.273333	0.2	0.310289
2.276667	0.2	0.316032
2.280000	0.2	0.323719
2.283333	0.2	0.331621
2.286667	0.2	0.338503
2.290000	0.2	0.343481
2.293333	0.2	0.345914
2.296667	0.2	0.345685
2.300000	0.2	0.343019
2.303333	0.2	0.337851
2.306667	0.2	0.329554
2.310000	0.2	0.317431
2.313333	0.2	0.301662
2.316667	0.2	0.283653
2.320000	0.2	0.265134
2.323333	0.2	0.247258
2.326667	0.2	0.230607
2.330000	0.2	0.215402
2.333333	0.2	0.201657
2.336667	0.2	0.189235
2.340000	0.2	0.177644
2.343333	0.2	0.166376
2.346667	0.2	0.155656
2.350000	0.2	0.146233
2.353333	0.2	0.138412
2.356667	0.2	0.131956
2.360000	0.2	0.126897
2.363333	0.2	0.123580
2.366667	0.2	0.121686
2.370000	0.2	0.119909
2.373333	0.2	0.116888
2.376667	0.2	0.112215
2.380000	0.2	0.106456
2.383333	0.2	0.100503
2.386667	0.2	0.094951
2.390000	0.2	0.089807
2.393333	0.2	0.084612
2.396667	0.2	0.079097
2.400000	0.2	0.073492
2.403333	0.2	0.068025
2.406667	0.2	0.062837
2.410000	0.2	0.058412
2.413333	0.2	0.055414
2.416667	0.2	0.053993
2.420000	0.2	0.053499
2.423333	0.2	0.052883
2.426667	0.2	0.051274
2.430000	0.2	0.048387
2.433333	0.2	0.044642
2.436667	0.2	0.040705
2.440000	0.2	0.036966
2.443333	0.2	0.033568
2.446667	0.2	0.030705
2.450000	0.2	0.028465
2.453333	0.2	0.026391
2.456667	0.2	0.023836
2.460000	0.2	0.020880
2.463333	0.2	0.018416
2.466667	0.2	0.017357
2.470000	0.2	0.017913
2.473333	0.2	0.019331
2.476667	0.2	0.020295
2.480000	0.2	0.019946
2.483333	0.2	0.018575
2.486667	0.2	0.017306
2.490000	0.2	0.017246
2.493333	0.2	0.018730
2.496667	0.2	0.020909
2.500000	0.2	0.022222
2.503333	0.2	0.021596
2.506667	0.2	0.019206
2.510000	0.2	0.016222
2.513333	0.2	0.013943
2.516667	0.2	0.013046
