File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/376.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 8
Injection Number	248
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	10:01:44 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.785176
Signal Max.	55.276324
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
20.183333	0.2	0.112148
20.186667	0.2	0.113276
20.190000	0.2	0.115648
20.193333	0.2	0.119177
20.196667	0.2	0.123465
20.200000	0.2	0.127976
20.203333	0.2	0.132178
20.206667	0.2	0.135197
20.210000	0.2	0.136059
20.213333	0.2	0.134542
20.216667	0.2	0.131466
20.220000	0.2	0.128253
20.223333	0.2	0.126118
20.226667	0.2	0.125434
20.230000	0.2	0.125926
20.233333	0.2	0.127242
20.236667	0.2	0.129078
20.240000	0.2	0.131097
20.243333	0.2	0.132879
20.246667	0.2	0.133997
20.250000	0.2	0.134066
20.253333	0.2	0.132668
20.256667	0.2	0.129855
20.260000	0.2	0.126641
20.263333	0.2	0.124263
20.266667	0.2	0.123179
20.270000	0.2	0.123022
20.273333	0.2	0.123180
20.276667	0.2	0.123320
20.280000	0.2	0.123577
20.283333	0.2	0.124429
20.286667	0.2	0.126268
20.290000	0.2	0.128816
20.293333	0.2	0.131122
20.296667	0.2	0.132417
20.300000	0.2	0.132651
20.303333	0.2	0.132018
20.306667	0.2	0.130397
20.310000	0.2	0.127449
20.313333	0.2	0.123382
20.316667	0.2	0.119611
20.320000	0.2	0.117887
20.323333	0.2	0.118699
20.326667	0.2	0.121002
20.330000	0.2	0.123167
20.333333	0.2	0.124007
20.336667	0.2	0.123362
20.340000	0.2	0.122106
20.343333	0.2	0.121422
20.346667	0.2	0.121878
20.350000	0.2	0.123286
20.353333	0.2	0.124883
20.356667	0.2	0.125679
20.360000	0.2	0.125554
20.363333	0.2	0.125836
20.366667	0.2	0.127935
20.370000	0.2	0.131502
20.373333	0.2	0.134463
20.376667	0.2	0.134888
20.380000	0.2	0.132517
20.383333	0.2	0.128665
20.386667	0.2	0.125209
20.390000	0.2	0.123437
20.393333	0.2	0.123339
20.396667	0.2	0.124069
20.400000	0.2	0.124832
20.403333	0.2	0.124984
20.406667	0.2	0.124099
20.410000	0.2	0.122505
20.413333	0.2	0.121283
20.416667	0.2	0.121358
20.420000	0.2	0.122730
20.423333	0.2	0.124527
20.426667	0.2	0.125641
20.430000	0.2	0.125577
20.433333	0.2	0.124760
20.436667	0.2	0.123902
20.440000	0.2	0.123378
20.443333	0.2	0.123341
20.446667	0.2	0.124041
20.450000	0.2	0.125584
20.453333	0.2	0.127519
20.456667	0.2	0.129232
20.460000	0.2	0.130475
20.463333	0.2	0.131094
20.466667	0.2	0.130723
20.470000	0.2	0.129109
20.473333	0.2	0.126484
20.476667	0.2	0.123489
20.480000	0.2	0.120826
20.483333	0.2	0.118816
20.486667	0.2	0.117317
20.490000	0.2	0.116242
20.493333	0.2	0.115889
20.496667	0.2	0.116662
20.500000	0.2	0.118481
20.503333	0.2	0.120345
20.506667	0.2	0.121110
20.510000	0.2	0.120741
20.513333	0.2	0.120139
20.516667	0.2	0.120138
20.520000	0.2	0.120966
20.523333	0.2	0.122235
20.526667	0.2	0.123356
20.530000	0.2	0.123913
20.533333	0.2	0.123712
20.536667	0.2	0.122874
20.540000	0.2	0.122037
20.543333	0.2	0.122159
20.546667	0.2	0.123592
20.550000	0.2	0.125661
20.553333	0.2	0.127550
20.556667	0.2	0.128858
20.560000	0.2	0.129223
