community,locusId,gene_name,fitness_mean,fitness_sd,Estimate,padj,direction
S,STM3873,rsmG,0.4190844860616809,0.04530029377690551,0.41908448606168086,0.00274193291938036,Positive
S,STM3880,kup,0.2862093999852606,0.04077514578709397,0.28620939998526057,3.3395294337729305e-4,Positive
S,STM3885,rbsK,0.4947623597574458,0.10738846251797227,0.4947623597574457,2.4512418256904393e-5,Positive
SE,STM3885,rbsK,0.0883602089799095,0.04890442154902775,-0.4064021507775365,0.02995880214840916,Positive
S,STM3886,rbsR,0.3855291921699872,0.030797683814809365,0.38552919216998727,0.00121806289874115,Positive
S,STM3897,NA,0.8228928575983945,0.18460994886385407,0.8228928575983946,1.9378298336707613e-5,Positive
S,STM3899,NA,0.26404083084507035,0.05271492548859428,0.26404083084507035,1.9864651515654372e-4,Positive
S,STM3918,NA,0.5611098112457287,0.04959725640497772,0.5611098112457287,2.3082110072000865e-7,Positive
SE,STM3918,NA,0.22723609533544245,0.08008443739199639,-0.33387371591028636,0.01727893090500907,Positive
S,STM3922,rffG,0.23766780027427045,0.0418598467311649,0.2376678002742703,0.00517078731725754,Positive
S,STM3929,NA,0.5253756484165679,0.05975590615251251,0.5253756484165684,8.186125455360101e-5,Positive
S,STM3964,NA,1.780286611933357,0.09007954326364764,1.780286611933357,4.8294468800291016e-11,Positive
SE,STM3964,NA,1.1159510399338854,0.08108654790977878,-0.6643355719994718,0.00359981069217696,Positive
S,STM3965,NA,2.0361468175098634,0.05787461727317275,2.036146817509864,9.65509097653428e-14,Positive
SE,STM3965,NA,1.4950154452554858,0.08826779326838324,-0.541131372254378,0.00100688029823499,Positive
S,STM3967,NA,1.3454298366529824,0.19544282490335355,1.345429836652982,4.399076689086106e-7,Positive
SE,STM3967,NA,0.32848723206678726,0.13157501829884313,-1.0169426045861951,0.00359981069217696,Positive
S,STM3986,NA,1.150665148909021,0.11594717494324354,1.1506651489090205,1.0114274603533568e-5,Positive
S,STM4041,NA,0.6590882586154065,0.15125080356173107,0.6590882586154064,0.00289304359169616,Positive
S,STM4059,cpxR,0.48942336937173003,0.07320339528989694,0.48942336937172987,0.00309060570905744,Positive
S,STM4100,metB,2.556348087560702,0.02544957944734571,2.556348087560701,9.065326301108369e-15,Positive
S,STM4101,metL,0.9209283061312714,0.0912129569866559,0.920928306131272,1.3601757456446748e-7,Positive
S,STM4105,metF,1.1232171959369024,0.29304874810514625,1.1232171959369024,4.6064487997281127e-4,Positive
S,STM4127,fabR,0.7916549401351636,0.07930458315272385,0.7916549401351634,2.673657349847399e-4,Positive
S,STM4128,yijD,0.3616672172375995,0.1193909893634705,0.3616672172375994,0.0044541382630927,Positive
S,STM4130,btuB,0.5639841770359607,0.04240602410273417,0.5639841770359606,1.4503644079302751e-9,Positive
SE,STM4130,btuB,0.2944569650017529,0.03637129253001951,-0.2695272120342079,0.0039177778212708,Positive
S,STM4165,NA,0.3257610332674117,0.08608975656529948,0.32576103326741157,0.00105446252313915,Positive
S,STM4170,NA,0.9149456029814302,0.2204563791323584,0.91494560298143,0.00896700168733441,Positive
S,STM4171,yjaH,0.2555567966995944,0.05103028466542513,0.25555679669959436,0.00705695000798116,Positive
S,STM4172,NA,0.24620222189562885,0.09994156483233918,0.24620222189562876,0.0173192193799923,Positive
S,STM4173,NA,0.24146014059309898,0.06267117725845027,0.24146014059309895,0.04647501886799943,Positive
S,STM4182,metAS,2.7145572663606723,0.052244727226484974,2.714557266360671,4.1451110101293734e-16,Positive
SE,STM4182,metAS,1.8502094384779098,0.03333808373192091,-0.8643478278827625,1.2644261773714046e-6,Positive
S,STM4188,metH,0.34581266906192976,0.05885248206341106,0.3458126690619296,3.535200682169984e-6,Positive
S,STM4204,NA,0.21940050551833504,0.05383775850016467,0.21940050551833495,0.01243406618460994,Positive
S,STM4221,pgi,0.45416652705605726,0.06512726203035117,0.45416652705605737,0.00705695000798116,Positive
S,STM4261,NA,0.05833509961859612,0.005854404279756744,0.05833509961859608,0.0089367165146416,Positive
S,STM4355,queG,0.27970744338846476,0.05750835184158801,0.27970744338846487,0.01172301168880071,Positive
S,STM4458,ridA,0.7111631540707122,0.10646202889209136,0.7111631540707125,0.02085795586975263,Positive
S,STM4585,gpmB,1.188596882234935,0.09771716996400438,1.1885968822349349,1.074456132084006e-6,Positive
SE,STM4585,gpmB,0.22434838812402397,0.13245235023004928,-0.9642484941109114,0.0036970432750889,Positive
